skill,industry,geography,period,metric,value,unit,evidence_type,source,source_tier,source_title,source_url
Leadership,government,United States,2026-08,mention_frequency,1.0,mention,qualitative,IEEE Spectrum AI,2,What It Takes to Be an Adaptable Engineer,https://spectrum.ieee.org/adaptable-engineer-core-skills
Decision-Making,manufacturing,United States,2026-08,mention_frequency,1.0,mention,qualitative,IEEE Spectrum AI,2,"Stop Hunting, Start Solving: Accelerating Root Cause Analysis with Agentic AI",https://event.on24.com/wcc/r/5460332/DAFEFF7A68EE900DEA7A14356089B553?utm_source=IEEE&utm_medium=site&utm_campaign=922
Collaboration,technology,United States,2026-08,mention_frequency,1.0,mention,qualitative,IEEE Spectrum AI,2,AI Used to Verify Toughest Mathematics Proof Yet,https://spectrum.ieee.org/axiom-math-246-theorem-formalization
Collaboration,finance,United States,2026-08,mention_frequency,1.0,mention,qualitative,IEEE Spectrum AI,2,AI Used to Verify Toughest Mathematics Proof Yet,https://spectrum.ieee.org/axiom-math-246-theorem-formalization
Collaboration,education,United States,2026-08,mention_frequency,1.0,mention,qualitative,IEEE Spectrum AI,2,AI Used to Verify Toughest Mathematics Proof Yet,https://spectrum.ieee.org/axiom-math-246-theorem-formalization
Adaptability,general,United States,2026-07,mention_frequency,1.0,mention,qualitative,Microsoft Work Lab,3,"Verifying Rust cryptography in SymCrypt, from standards to code",https://www.microsoft.com/en-us/research/blog/verifying-rust-cryptography-in-symcrypt-from-standards-to-code/
Resilience,general,Global,2025-12,unemployment_rate,7.53923324035891,percent,observed,World Bank,1,World Bank Open Data — unemployment_rate (SL.UEM.TOTL.ZS),https://data.worldbank.org/indicator/SL.UEM.TOTL.ZS
Adaptability,general,Global,2025-12,labor_force_participation,68.8697192431851,percent,observed,World Bank,1,World Bank Open Data — labor_force_participation (SL.TLF.CACT.ZS),https://data.worldbank.org/indicator/SL.TLF.CACT.ZS
Adaptability,general,United States,2026-08,employment_level,159075.0,thousands,observed,U.S. Bureau of Labor Statistics,1,BLS Employment Data (CES0000000001),https://data.bls.gov/timeseries/CES0000000001
Teamwork,general,United States,2026-07,mention_frequency,1.0,mention,qualitative,Bing,4,"Blind spots in human-AI teamwork pose serious risks, warns Talogy's Chief Scientist",https://finance.yahoo.com/technology/ai/articles/blind-spots-human-ai-teamwork-110400634.html
Teamwork,general,Global,2026-05,mention_frequency,1.0,mention,qualitative,Bing,4,Will AI destroy teamwork?,https://www.msn.com/en-us/lifestyle/career/will-ai-destroy-teamwork/ar-AA22BED9
Responsible AI Use,education,United States,2026-09,mention_frequency,1.0,mention,qualitative,Bing,4,More Than One Million Trained in Ethical AI in Saudi Arabia,https://cairoscene.com/News/More-Than-One-Million-Trained-in-Ethical-AI-in-Saudi-Arabia
Responsible AI Use,technology,United States,2026-09,mention_frequency,1.0,mention,qualitative,Bing,4,"FG, Winbox seek responsible AI use",https://www.msn.com/en-xl/money/general/fg-winbox-seek-responsible-ai-use/ar-AA2ciOeA
